id,kind,archetype_id,archetype_name,level,power,power_band,seed,weapon_id,spell_ids,passive_id,pet_id,weapon_level,weapon_quality_tier
L1_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,1,70,band_001,battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,varinha_cinzas,,,,1,0
L1_starter_instrument_r1,random,starter_instrument,Starter Instrument,1,70,band_001,battle_lab_character_rework_20260525:starter_instrument:L1:random:1,idolo_pedra_viva,,,,1,0
L1_mental_controller_fixed,fixed,mental_controller,Mental Controller,1,70,band_001,battle_lab_character_rework_20260525:mental_controller:L1:fixed:0,grimorio_veu,,,,1,0
L1_mental_controller_r1,random,mental_controller,Mental Controller,1,70,band_001,battle_lab_character_rework_20260525:mental_controller:L1:random:1,cajado_ossario,,,,1,0
L1_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,1,70,band_001,battle_lab_character_rework_20260525:elemental_mixer:L1:fixed:0,orbe_tempestade,,,,1,0
L1_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,1,100,band_001,battle_lab_character_rework_20260525:elemental_mixer:L1:random:1,cetro_braseiro_negro,,,,1,1
L1_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,1,70,band_001,battle_lab_character_rework_20260525:familiar_handler:L1:fixed:0,varinha_cinzas,,,,1,0
L1_familiar_handler_r1,random,familiar_handler,Familiar Handler,1,100,band_001,battle_lab_character_rework_20260525:familiar_handler:L1:random:1,orbe_tempestade,,,,1,1
L1_summoner_fixed,fixed,summoner,Summoner,1,100,band_001,battle_lab_character_rework_20260525:summoner:L1:fixed:0,cajado_ossario,,,,1,1
L1_summoner_r1,random,summoner,Summoner,1,70,band_001,battle_lab_character_rework_20260525:summoner:L1:random:1,grimorio_veu,,,,1,0
L1_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,1,70,band_001,battle_lab_character_rework_20260525:defensive_occultist:L1:fixed:0,idolo_pedra_viva,,,,1,0
L1_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,1,100,band_001,battle_lab_character_rework_20260525:defensive_occultist:L1:random:1,varinha_cinzas,,,,1,1
L1_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,1,70,band_001,battle_lab_character_rework_20260525:dot_pressure:L1:fixed:0,athame_hematico,,,,1,0
L1_dot_pressure_r1,random,dot_pressure,DoT Pressure,1,70,band_001,battle_lab_character_rework_20260525:dot_pressure:L1:random:1,idolo_pedra_viva,,,,1,0
L1_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,1,70,band_001,battle_lab_character_rework_20260525:funeral_burst:L1:fixed:0,cajado_ossario,,,,1,0
L1_funeral_burst_r1,random,funeral_burst,Funeral Burst,1,70,band_001,battle_lab_character_rework_20260525:funeral_burst:L1:random:1,cajado_ossario,,,,1,0
L3_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,3,182,band_001,battle_lab_character_rework_20260525:starter_instrument:L3:fixed:0,varinha_cinzas,,,,2,0
L3_starter_instrument_r1,random,starter_instrument,Starter Instrument,3,210,band_001,battle_lab_character_rework_20260525:starter_instrument:L3:random:1,cetro_braseiro_negro,,,,3,0
L3_mental_controller_fixed,fixed,mental_controller,Mental Controller,3,302,band_002,battle_lab_character_rework_20260525:mental_controller:L3:fixed:0,grimorio_veu,sussurro_medo,,,2,0
L3_mental_controller_r1,random,mental_controller,Mental Controller,3,302,band_002,battle_lab_character_rework_20260525:mental_controller:L3:random:1,orbe_tempestade,sussurro_medo,,,2,0
L3_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,3,182,band_001,battle_lab_character_rework_20260525:elemental_mixer:L3:fixed:0,orbe_tempestade,,,,2,0
L3_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,3,302,band_002,battle_lab_character_rework_20260525:elemental_mixer:L3:random:1,selo_mare_fria,sussurro_medo,,,2,0
L3_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,3,262,band_002,battle_lab_character_rework_20260525:familiar_handler:L3:fixed:0,varinha_cinzas,sussurro_medo,,,2,0
L3_familiar_handler_r1,random,familiar_handler,Familiar Handler,3,234,band_001,battle_lab_character_rework_20260525:familiar_handler:L3:random:1,varinha_cinzas,sussurro_medo,,,1,0
L3_summoner_fixed,fixed,summoner,Summoner,3,332,band_002,battle_lab_character_rework_20260525:summoner:L3:fixed:0,cajado_ossario,sussurro_medo,,,2,1
L3_summoner_r1,random,summoner,Summoner,3,332,band_002,battle_lab_character_rework_20260525:summoner:L3:random:1,cajado_ossario,sussurro_medo,,,2,1
L3_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,3,182,band_001,battle_lab_character_rework_20260525:defensive_occultist:L3:fixed:0,idolo_pedra_viva,,,,2,0
L3_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,3,262,band_002,battle_lab_character_rework_20260525:defensive_occultist:L3:random:1,athame_hematico,sussurro_medo,,,2,0
L3_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,3,182,band_001,battle_lab_character_rework_20260525:dot_pressure:L3:fixed:0,athame_hematico,,,,2,0
L3_dot_pressure_r1,random,dot_pressure,DoT Pressure,3,234,band_001,battle_lab_character_rework_20260525:dot_pressure:L3:random:1,varinha_cinzas,sussurro_medo,,,1,0
L3_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,3,182,band_001,battle_lab_character_rework_20260525:funeral_burst:L3:fixed:0,cajado_ossario,,,,2,0
L3_funeral_burst_r1,random,funeral_burst,Funeral Burst,3,302,band_002,battle_lab_character_rework_20260525:funeral_burst:L3:random:1,idolo_pedra_viva,sussurro_medo,,,2,0
L7_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,7,462,band_002,battle_lab_character_rework_20260525:starter_instrument:L7:fixed:0,varinha_cinzas,,,,6,0
L7_starter_instrument_r1,random,starter_instrument,Starter Instrument,7,434,band_002,battle_lab_character_rework_20260525:starter_instrument:L7:random:1,athame_hematico,,,,5,0
L7_mental_controller_fixed,fixed,mental_controller,Mental Controller,7,996,band_003,battle_lab_character_rework_20260525:mental_controller:L7:fixed:0,grimorio_veu,sussurro_medo|terror_primordial,,,4,1
L7_mental_controller_r1,random,mental_controller,Mental Controller,7,968,band_003,battle_lab_character_rework_20260525:mental_controller:L7:random:1,orbe_tempestade,terror_primordial|lamina_vento,,,3,1
L7_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,7,1024,band_003,battle_lab_character_rework_20260525:elemental_mixer:L7:fixed:0,orbe_tempestade,descarga_nervosa|marca_brasa,,,5,1
L7_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,7,1022,band_003,battle_lab_character_rework_20260525:elemental_mixer:L7:random:1,cetro_braseiro_negro,geada_ossos|sussurro_medo,,,6,0
L7_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,7,836,band_003,battle_lab_character_rework_20260525:familiar_handler:L7:fixed:0,varinha_cinzas,sussurro_medo|incisao_ritual,,,4,1
L7_familiar_handler_r1,random,familiar_handler,Familiar Handler,7,698,band_003,battle_lab_character_rework_20260525:familiar_handler:L7:random:1,varinha_cinzas,mare_escura|lamina_vento,,,3,0
L7_summoner_fixed,fixed,summoner,Summoner,7,746,band_003,battle_lab_character_rework_20260525:summoner:L7:fixed:0,cajado_ossario,sussurro_medo,,,4,2
L7_summoner_r1,random,summoner,Summoner,7,968,band_003,battle_lab_character_rework_20260525:summoner:L7:random:1,athame_hematico,sussurro_medo|geada_ossos,,,3,1
L7_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,7,676,band_003,battle_lab_character_rework_20260525:defensive_occultist:L7:fixed:0,idolo_pedra_viva,geada_ossos,,,4,1
L7_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,7,674,band_003,battle_lab_character_rework_20260525:defensive_occultist:L7:random:1,orbe_tempestade,mare_escura,,,5,0
L7_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,7,916,band_003,battle_lab_character_rework_20260525:dot_pressure:L7:fixed:0,athame_hematico,toxina_palida|marca_brasa,,,4,1
L7_dot_pressure_r1,random,dot_pressure,DoT Pressure,7,678,band_003,battle_lab_character_rework_20260525:dot_pressure:L7:random:1,varinha_cinzas,marca_brasa,,,3,2
L7_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,7,996,band_003,battle_lab_character_rework_20260525:funeral_burst:L7:fixed:0,cajado_ossario,descarga_nervosa|marca_brasa,,,4,1
L7_funeral_burst_r1,random,funeral_burst,Funeral Burst,7,704,band_003,battle_lab_character_rework_20260525:funeral_burst:L7:random:1,selo_mare_fria,lamina_vento,,,5,1
L10_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,10,644,band_003,battle_lab_character_rework_20260525:starter_instrument:L10:fixed:0,varinha_cinzas,,,,8,0
L10_starter_instrument_r1,random,starter_instrument,Starter Instrument,10,616,band_003,battle_lab_character_rework_20260525:starter_instrument:L10:random:1,cetro_braseiro_negro,,,,7,0
L10_mental_controller_fixed,fixed,mental_controller,Mental Controller,10,1594,band_004,battle_lab_character_rework_20260525:mental_controller:L10:fixed:0,grimorio_veu,sussurro_medo|terror_primordial,doutrina_pavor,,6,1
L10_mental_controller_r1,random,mental_controller,Mental Controller,10,1104,band_003,battle_lab_character_rework_20260525:mental_controller:L10:random:1,varinha_cinzas,labirinto_razao,alquimia_toxica,,5,1
L10_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,10,1600,band_004,battle_lab_character_rework_20260525:elemental_mixer:L10:fixed:0,orbe_tempestade,descarga_nervosa|marca_brasa,pulso_tempestade,,7,1
L10_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,10,1144,band_003,battle_lab_character_rework_20260525:elemental_mixer:L10:random:1,athame_hematico,sussurro_medo,doutrina_pavor,,5,1
L10_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,10,1434,band_004,battle_lab_character_rework_20260525:familiar_handler:L10:fixed:0,varinha_cinzas,sussurro_medo|incisao_ritual,pacto_familiar,,6,1
L10_familiar_handler_r1,random,familiar_handler,Familiar Handler,10,1434,band_004,battle_lab_character_rework_20260525:familiar_handler:L10:random:1,idolo_pedra_viva,incisao_ritual|descarga_nervosa,mente_fria,,5,0
L10_summoner_fixed,fixed,summoner,Summoner,10,1224,band_004,battle_lab_character_rework_20260525:summoner:L10:fixed:0,cajado_ossario,sussurro_medo,ossuario_interior,,6,2
L10_summoner_r1,random,summoner,Summoner,10,1154,band_003,battle_lab_character_rework_20260525:summoner:L10:random:1,orbe_tempestade,geada_ossos,anatomista_profano,,6,1
L10_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,10,1198,band_003,battle_lab_character_rework_20260525:defensive_occultist:L10:fixed:0,idolo_pedra_viva,geada_ossos,pedra_interna,,6,1
L10_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,10,1208,band_004,battle_lab_character_rework_20260525:defensive_occultist:L10:random:1,cajado_ossario,terror_primordial,anatomista_profano,,6,0
L10_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,10,1492,band_004,battle_lab_character_rework_20260525:dot_pressure:L10:fixed:0,athame_hematico,toxina_palida|marca_brasa,alquimia_toxica,,6,1
L10_dot_pressure_r1,random,dot_pressure,DoT Pressure,10,1484,band_004,battle_lab_character_rework_20260525:dot_pressure:L10:random:1,cajado_ossario,lamina_vento|toxina_palida,doutrina_pavor,,6,0
L10_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,10,1594,band_004,battle_lab_character_rework_20260525:funeral_burst:L10:fixed:0,cajado_ossario,descarga_nervosa|marca_brasa,ossuario_interior,,6,1
L10_funeral_burst_r1,random,funeral_burst,Funeral Burst,10,1594,band_004,battle_lab_character_rework_20260525:funeral_burst:L10:random:1,cajado_ossario,toxina_palida|mare_escura,pacto_familiar,,6,1
L15_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,15,996,band_003,battle_lab_character_rework_20260525:starter_instrument:L15:fixed:0,varinha_cinzas,,,,12,1
L15_starter_instrument_r1,random,starter_instrument,Starter Instrument,15,938,band_003,battle_lab_character_rework_20260525:starter_instrument:L15:random:1,cetro_braseiro_negro,,,,11,0
L15_mental_controller_fixed,fixed,mental_controller,Mental Controller,15,2712,band_005,battle_lab_character_rework_20260525:mental_controller:L15:fixed:0,grimorio_veu,sussurro_medo|terror_primordial,doutrina_pavor,corvo_pressagio,9,2
L15_mental_controller_r1,random,mental_controller,Mental Controller,15,2474,band_005,battle_lab_character_rework_20260525:mental_controller:L15:random:1,selo_mare_fria,lamina_vento|mare_escura,doutrina_pavor,serpente_toxina,7,2
